	reads.in	reads.out	derepF	derepR	merged	nochim	readslost	percentlost	Losses		
21	56166	47987	46971	47139	45331	45183	10983	20%	sample	avg percent lost	19%
28	71775	55496	54747	54651	52801	52773	19002	26%	sample	std dev percent lost	8%
52	94849	75034	74078	74234	71839	71635	23214	24%	control	avg percent lost	78%
60	59085	51843	50725	50853	49346	49346	9739	16%	control	std dev percent lost	9%
112	63520	55945	55020	55153	53614	53607	9913	16%			
133	70653	62704	61877	62053	60770	60718	9935	14%	Total number of sequences		
175	79015	69654	68729	68843	67602	67515	11500	15%	sample	avg percent lost	54146
187	68032	52524	51787	51820	50148	50133	17899	26%	sample	std dev percent lost	11228
239	74538	66073	65228	65325	63804	63798	10740	14%	control	avg percent lost	698
240	77755	58470	57132	57245	55122	55105	22650	29%	control	std dev percent lost	888
241	61910	54200	53221	53412	52092	52024	9886	16%			
242	65027	57342	56594	56736	55165	55079	9948	15%			
243	72264	55750	54090	54333	52029	51936	20328	28%			
244	58626	51269	50180	50271	48845	48793	9833	17%			
245	79724	69858	68487	68751	67017	66927	12797	16%			
246	69414	53941	53028	53122	51447	51439	17975	26%			
247	50516	44184	43629	43664	42600	42477	8039	16%			
248	53859	47517	46906	46977	45789	45728	8131	15%			
249	79612	61919	60810	60934	59038	59003	20609	26%			
250	90115	79377	78344	78434	76350	76264	13851	15%			
261	79197	69939	68630	68754	67023	67023	12174	15%			
262	77561	59243	58188	58289	56603	56576	20985	27%			
263	86202	75635	74637	74815	73090	72970	13232	15%			
264	56543	49917	48829	48994	47567	47518	9025	16%			
267	62818	48206	47374	47478	45855	45819	16999	27%			
268	56295	49299	48604	48602	47336	47318	8977	16%			
269	69630	61867	60822	61041	59716	59698	9932	14%			
271	70831	55593	54763	54888	53182	53164	17667	25%			
285	63755	56202	55464	55262	53996	53895	9860	15%			
286	70154	61947	60994	61128	59541	59425	10729	15%			
287	63257	48617	47827	47909	46303	46259	16998	27%			
288	72996	63828	62845	62785	61000	60923	12073	17%			
290	66097	57731	56719	56919	55192	55151	10946	17%			
291	59427	46489	45766	45937	44388	44361	15066	25%			
294	80699	71789	70698	70742	69286	69275	11424	14%			
306	59664	47770	46993	47105	45199	45129	14535	24%			
307	56413	49885	48945	49063	47962	47899	8514	15%			
308	63514	56270	55714	55843	54299	54136	9378	15%			
310	64410	51146	50390	50649	48358	48242	16168	25%			
311	57167	50774	50019	50121	48659	48630	8537	15%			
313	56605	50515	49679	49810	48330	48225	8380	15%			
314	76252	59878	59124	59201	56964	56810	19442	25%			
316	52616	46684	46015	46166	44646	44536	8080	15%			
330	72934	65283	64574	64778	62485	62055	10879	15%			
338	64061	50983	50357	50368	48460	48452	15609	24%			
340	68924	61783	61036	60992	59097	58728	10196	15%			
342	60254	53308	52458	52512	51181	51122	9132	15%			
343	62694	51019	50276	50305	48260	48144	14550	23%			
344	63899	56553	56123	56032	54663	54444	9455	15%			
345	69754	62373	61660	61665	60243	60142	9612	14%			
346	66798	53780	53153	53232	50941	50708	16090	24%			
347	57601	51319	50750	50646	49551	49379	8222	14%			
349	75730	67965	67189	67320	65365	65172	10558	14%			
350	63987	50778	50121	50095	48442	48351	15636	24%			
352	84142	75035	74284	74262	72113	71903	12239	15%			
355	83162	75127	74421	74385	72523	72115	11047	13%			
356	72382	58751	57887	58016	56325	56245	16137	22%			
358	63750	56666	55873	56016	54118	53956	9794	15%			
359	74077	65886	65206	65259	63488	63313	10764	15%			
362	54418	43985	43258	43401	41605	41578	12840	24%			
363	75154	67576	66933	66955	65323	65092	10062	13%			
365	53761	47890	47118	47167	45764	45685	8076	15%			
366	75236	60295	59239	59481	57438	57349	17887	24%			
375	69333	61778	60822	60896	58526	58404	10929	16%			
376	74120	66235	65099	65379	63473	63348	10772	15%			
377	70298	55776	54868	54960	52792	52786	17512	25%			
378	76314	68071	67522	67547	65742	65742	10572	14%			
379	59618	52987	52299	52406	50756	50652	8966	15%			
380	62400	47304	46531	46641	44517	44436	17964	29%			
381	80854	72065	71335	71350	69788	69559	11295	14%			
382	72036	64180	63040	63186	61136	61115	10921	15%			
412	27858	20916	20622	20454	19492	19490	8368	30%			
413	52282	44973	44571	44445	43048	43031	9251	18%			
414	69822	60580	60006	60182	58787	58276	11546	17%			
415	51513	38867	38409	38468	37161	37149	14364	28%			
418	59931	52546	51927	52005	50626	50571	9360	16%			
420	65690	57285	56588	56612	55021	54991	10699	16%			
421	37441	28876	28475	28646	27405	27376	10065	27%			
424	84572	74336	73738	73770	71991	71659	12913	15%			
426	67185	59612	58281	58425	56899	56804	10381	15%			
427	64155	48740	46872	46926	43985	43977	20178	31%			
428	60610	52165	50186	50407	47784	47774	12836	21%			
429	75641	66529	65040	65299	63659	63642	11999	16%			
435	76998	60312	59333	59482	56976	56923	20075	26%			
436	75771	67762	66934	67056	65439	65269	10502	14%			
439	52293	46631	45783	45819	44284	44275	8018	15%			
440	80880	63159	62486	62485	60446	60252	20628	26%			
441	73589	65430	64536	64555	62621	62477	11112	15%			
442	77452	69128	68118	68198	66673	66651	10801	14%			
443	65511	51537	50833	50835	49017	48904	16607	25%			
444	52449	46432	45849	45930	44460	44439	8010	15%			
445	67077	60148	58839	58877	57224	57220	9857	15%			
446	58711	46606	45732	45714	43476	43469	15242	26%			
449	83069	73096	72028	72154	70036	69979	13090	16%			
450	66970	60528	59096	59194	57483	57479	9491	14%			
451	68678	54091	52792	52989	50785	50781	17897	26%			
452	75251	67007	65801	65844	63855	63839	11412	15%			
453	67896	61331	59852	59995	57482	57482	10414	15%			
459	70407	55402	53965	53916	51109	51091	19316	27%			
463	67333	60435	59772	59809	57898	57692	9641	14%			
464	61605	55561	54781	54893	53139	52945	8660	14%			
474	53174	43233	42457	42578	41038	40897	12277	23%			
475	72147	64848	63481	63620	61486	61218	10929	15%			
478	67528	61420	60685	60796	59083	59043	8485	13%			
479	53410	43373	42331	42377	40555	40551	12859	24%			
