STATION,DATE,PRCP,DATE_year,DATE_month
VQC00672551,1972-01-15,55.7,1972,1
VQC00672551,1972-02-15,120.4,1972,2
VQC00672551,1972-03-15,81.9,1972,3
VQC00672551,1972-04-15,54.7,1972,4
VQC00672551,1972-05-15,36.5,1972,5
VQC00672551,1972-06-15,47.2,1972,6
VQC00672551,1972-07-15,35.8,1972,7
VQC00672551,1972-08-15,71.4,1972,8
VQC00672551,1972-09-15,80.1,1972,9
VQC00672551,1972-10-15,85.7,1972,10
VQC00672551,1972-11-15,78.3,1972,11
VQC00672551,1972-12-15,140.6,1972,12
VQC00672551,1973-01-15,30.8,1973,1
VQC00672551,1973-02-15,25.7,1973,2
VQC00672551,1973-03-15,44.8,1973,3
VQC00672551,1973-04-15,16.6,1973,4
VQC00672551,1973-05-15,16.7,1973,5
VQC00672551,1973-06-15,66.7,1973,6
VQC00672551,1973-07-15,86.1,1973,7
VQC00672551,1973-08-15,83.9,1973,8
VQC00672551,1973-09-15,147.1,1973,9
VQC00672551,1973-10-15,94.2,1973,10
VQC00672551,1973-11-15,,1973,11
VQC00672551,1973-12-15,54.4,1973,12
VQC00672551,1974-01-15,61.5,1974,1
VQC00672551,1974-02-15,17,1974,2
VQC00672551,1974-03-15,26.5,1974,3
VQC00672551,1974-04-15,56.6,1974,4
VQC00672551,1974-05-15,16,1974,5
VQC00672551,1974-06-15,16.4,1974,6
VQC00672551,1974-07-15,36.2,1974,7
VQC00672551,1974-08-15,155.7,1974,8
VQC00672551,1974-09-15,141.5,1974,9
VQC00672551,1974-10-15,290.6,1974,10
VQC00672551,1974-11-15,276.1,1974,11
VQC00672551,1974-12-15,33.4,1974,12
VQC00672551,1975-01-15,43.5,1975,1
VQC00672551,1975-02-15,22.9,1975,2
VQC00672551,1975-03-15,63.4,1975,3
VQC00672551,1975-04-15,43.1,1975,4
VQC00672551,1975-05-15,13.7,1975,5
VQC00672551,1975-06-15,29,1975,6
VQC00672551,1975-07-15,38.2,1975,7
VQC00672551,1975-08-15,64,1975,8
VQC00672551,1975-09-15,153.1,1975,9
VQC00672551,1975-10-15,102.3,1975,10
VQC00672551,1975-11-15,182.4,1975,11
VQC00672551,1975-12-15,193.8,1975,12
VQC00672551,1976-01-15,37.2,1976,1
VQC00672551,1976-02-15,75.3,1976,2
VQC00672551,1976-03-15,47.1,1976,3
VQC00672551,1976-04-15,82.7,1976,4
VQC00672551,1976-05-15,40.6,1976,5
VQC00672551,1976-06-15,52.5,1976,6
VQC00672551,1976-07-15,28.7,1976,7
VQC00672551,1976-08-15,72.5,1976,8
VQC00672551,1976-09-15,117.9,1976,9
VQC00672551,1976-10-15,101.5,1976,10
VQC00672551,1976-11-15,51.8,1976,11
VQC00672551,1976-12-15,159.7,1976,12
VQC00672551,1977-01-15,38.6,1977,1
VQC00672551,1977-02-15,40.2,1977,2
VQC00672551,1977-03-15,27.1,1977,3
VQC00672551,1977-04-15,64.8,1977,4
VQC00672551,1977-05-15,36.4,1977,5
VQC00672551,1977-06-15,24,1977,6
VQC00672551,1977-07-15,64,1977,7
VQC00672551,1977-08-15,94.7,1977,8
VQC00672551,1977-09-15,153.3,1977,9
VQC00672551,1977-10-15,229.9,1977,10
VQC00672551,1977-11-15,433,1977,11
VQC00672551,1977-12-15,99,1977,12
VQC00672551,1978-01-15,49,1978,1
VQC00672551,1978-02-15,26.1,1978,2
VQC00672551,1978-03-15,37.8,1978,3
VQC00672551,1978-04-15,180.5,1978,4
VQC00672551,1978-05-15,42.8,1978,5
VQC00672551,1978-06-15,,1978,6
VQC00672551,1978-07-15,113.3,1978,7
VQC00672551,1978-08-15,168.4,1978,8
VQC00672551,1978-09-15,64.9,1978,9
VQC00672551,1978-10-15,201.7,1978,10
VQC00672551,1978-11-15,78.5,1978,11
VQC00672551,1978-12-15,49.2,1978,12
VQC00672551,1979-01-15,22.8,1979,1
VQC00672551,1979-02-15,34.5,1979,2
VQC00672551,1979-03-15,29,1979,3
VQC00672551,1979-04-15,42.8,1979,4
VQC00672551,1979-05-15,389.7,1979,5
VQC00672551,1979-06-15,121.3,1979,6
VQC00672551,1979-07-15,72.4,1979,7
VQC00672551,1979-08-15,137,1979,8
VQC00672551,1979-09-15,416.3,1979,9
VQC00672551,1979-10-15,62.5,1979,10
VQC00672551,1979-11-15,253.6,1979,11
VQC00672551,1979-12-15,49,1979,12
VQC00672551,1980-01-15,25.7,1980,1
VQC00672551,1980-02-15,35.1,1980,2
VQC00672551,1980-03-15,32.1,1980,3
VQC00672551,1980-04-15,98,1980,4
VQC00672551,1980-05-15,69.6,1980,5
VQC00672551,1980-06-15,29.6,1980,6
VQC00672551,1980-07-15,,1980,7
VQC00672551,1980-08-15,115.4,1980,8
VQC00672551,1980-09-15,123.4,1980,9
VQC00672551,1980-10-15,160.9,1980,10
VQC00672551,1980-11-15,70.5,1980,11
VQC00672551,1980-12-15,59.7,1980,12
VQC00672551,1981-01-15,59.7,1981,1
VQC00672551,1981-02-15,39.2,1981,2
VQC00672551,1981-03-15,5.2,1981,3
VQC00672551,1981-04-15,199.3,1981,4
VQC00672551,1981-05-15,246.9,1981,5
VQC00672551,1981-06-15,59.4,1981,6
VQC00672551,1981-07-15,112.3,1981,7
VQC00672551,1981-08-15,30,1981,8
VQC00672551,1981-09-15,148.2,1981,9
VQC00672551,1981-10-15,230.8,1981,10
VQC00672551,1981-11-15,68.4,1981,11
VQC00672551,1981-12-15,224.9,1981,12
VQC00672551,1982-01-15,33.5,1982,1
VQC00672551,1982-02-15,109.7,1982,2
VQC00672551,1982-03-15,23.5,1982,3
VQC00672551,1982-04-15,33.5,1982,4
VQC00672551,1982-05-15,,1982,5
VQC00672551,1982-06-15,31.6,1982,6
VQC00672551,1982-07-15,49.6,1982,7
VQC00672551,1982-08-15,50.5,1982,8
VQC00672551,1982-09-15,98.4,1982,9
VQC00672551,1982-10-15,53.9,1982,10
VQC00672551,1982-11-15,132.1,1982,11
VQC00672551,1982-12-15,,1982,12
VQC00672551,1983-01-15,27.1,1983,1
VQC00672551,1983-02-15,21.8,1983,2
VQC00672551,1983-03-15,27.7,1983,3
VQC00672551,1983-04-15,107,1983,4
VQC00672551,1983-05-15,164.5,1983,5
VQC00672551,1983-06-15,34.8,1983,6
VQC00672551,1983-07-15,82,1983,7
VQC00672551,1983-08-15,123,1983,8
VQC00672551,1983-09-15,52.9,1983,9
VQC00672551,1983-10-15,55,1983,10
VQC00672551,1983-11-15,250.1,1983,11
VQC00672551,1983-12-15,,1983,12
VQC00672551,1984-01-15,80.1,1984,1
VQC00672551,1984-02-15,58.2,1984,2
VQC00672551,1984-03-15,,1984,3
VQC00672551,1984-04-15,32.6,1984,4
VQC00672551,1984-05-15,65.9,1984,5
VQC00672551,1984-06-15,40.8,1984,6
VQC00672551,1984-07-15,68.6,1984,7
VQC00672551,1984-08-15,92.8,1984,8
VQC00672551,1984-09-15,131.4,1984,9
VQC00672551,1984-10-15,104.4,1984,10
VQC00672551,1984-11-15,308.2,1984,11
VQC00672551,1984-12-15,85.8,1984,12
VQC00672551,1985-01-15,17.7,1985,1
VQC00672551,1985-02-15,47.5,1985,2
VQC00672551,1985-03-15,56.1,1985,3
VQC00672551,1985-04-15,25.9,1985,4
VQC00672551,1985-05-15,47.6,1985,5
VQC00672551,1985-06-15,3.3,1985,6
VQC00672551,1985-07-15,40.2,1985,7
VQC00672551,1985-08-15,56,1985,8
VQC00672551,1985-09-15,71.3,1985,9
VQC00672551,1985-10-15,216.8,1985,10
VQC00672551,1985-11-15,133.6,1985,11
VQC00672551,1985-12-15,46.6,1985,12
VQC00672551,1986-02-15,25,1986,2
VQC00672551,1986-03-15,21.9,1986,3
VQC00672551,1986-04-15,175.9,1986,4
VQC00672551,1986-05-15,243.5,1986,5
VQC00672551,1986-06-15,43.3,1986,6
VQC00672551,1986-07-15,50.8,1986,7
VQC00672551,1986-08-15,120.3,1986,8
VQC00672551,1986-09-15,45.3,1986,9
VQC00672551,1986-10-15,94.2,1986,10
VQC00672551,1986-11-15,162.8,1986,11
VQC00672551,1986-12-15,87.6,1986,12
VQC00672551,1987-01-15,34.6,1987,1
VQC00672551,1987-02-15,21.2,1987,2
VQC00672551,1987-03-15,47.6,1987,3
VQC00672551,1987-04-15,31.1,1987,4
VQC00672551,1987-05-15,182,1987,5
VQC00672551,1987-06-15,127,1987,6
VQC00672551,1987-07-15,53.4,1987,7
VQC00672551,1987-08-15,47.8,1987,8
VQC00672551,1987-09-15,53.2,1987,9
VQC00672551,1987-10-15,78.6,1987,10
VQC00672551,1987-11-15,264.2,1987,11
VQC00672551,1987-12-15,93.3,1987,12
VQC00672551,1988-01-15,80.7,1988,1
VQC00672551,1988-02-15,50.1,1988,2
VQC00672551,1988-03-15,42.7,1988,3
VQC00672551,1988-04-15,6.1,1988,4
VQC00672551,1988-05-15,53.9,1988,5
VQC00672551,1988-06-15,61.5,1988,6
VQC00672551,1988-07-15,61.2,1988,7
VQC00672551,1988-08-15,117.1,1988,8
VQC00672551,1988-09-15,220.7,1988,9
VQC00672551,1988-10-15,110.9,1988,10
VQC00672551,1988-11-15,114.4,1988,11
VQC00672551,1988-12-15,,1988,12
VQC00672551,1989-01-15,76,1989,1
VQC00672551,1989-02-15,49.7,1989,2
VQC00672551,1989-03-15,50.8,1989,3
VQC00672551,1989-04-15,28.8,1989,4
VQC00672551,1989-05-15,56.7,1989,5
VQC00672551,1989-06-15,96.6,1989,6
VQC00672551,1989-07-15,60.1,1989,7
VQC00672551,1989-08-15,167.6,1989,8
VQC00672551,1989-09-15,293.1,1989,9
VQC00672551,1989-10-15,29,1989,10
VQC00672551,1989-12-15,23.9,1989,12
VQC00672551,1990-01-15,81,1990,1
VQC00672551,1990-02-15,82.5,1990,2
VQC00672551,1990-03-15,42.7,1990,3
VQC00672551,1990-04-15,21.6,1990,4
