""	"date"	"site"	"depth"	"depthtype"	"Library"	"Sequences"	"depth_m"	"monthyear"	"yearmonth"	"prehurricane"	"disease"	"disturbance"	"temp"	"salinity"	"npoc"	"tn"	"po4"	"no2no3"	"silicate"	"no2"	"nh4"	"Chl"	"Phaeo"	"pro"	"syn"	"peuk"	"hbact"	"BleachCoral"	"CCA"	"CYAN"	"DiseasedCoral"	"HardCoral"	"Macroalgae"	"Other"	"Ramicrusta"	"SoftCoral"	"Sponge"	"Substrate"	"TurfAlgae"	"is.neg"
"1039"	"10/22/21"	"Yawzi"	"Benthic"	"benthic"	"F2"	" 65462"	" 8.90"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.60135"	"34.69132"	" 95.300"	" 9.700"	"0.1200"	" 0.3000"	" 1.1000"	" 0.0200"	" 0.5100"	"0.17760066"	"0.10506393"	" 24318"	" 54493"	" 1996"	" 621000"	"0.00"	"0.08250000"	"0.03000000"	"0.00000000"	"0.04750000"	"0.32750000"	"0.02500000"	"0.09500000"	"0.04000000"	"0.04000000"	"0.1450000"	"0.17500000"	"FALSE"
"1048"	"10/23/21"	"Ram Head"	"Surface"	"surface"	"F2"	" 67320"	" 0.50"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.29664"	"34.36653"	" 87.300"	" 7.800"	"0.0700"	" 0.1000"	" 3.0000"	" 0.0100"	" 0.2100"	NA	NA	" 51486"	" 82961"	" 1956"	" 912000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"573"	"4/12/18"	"Sand patch"	"Benthic"	"benthic"	"H2"	" 63640"	" 9.14"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.51000"	"36.48000"	" 73.442"	" 6.716"	"0.1612"	" 0.0000"	" 1.4230"	" 0.0178"	" 0.1973"	"0.16084494"	"0.05938737"	" 39811"	"100294"	" 1223"	" 618750"	"0.00"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"1.0000000"	"0.00000000"	"FALSE"
"USVI126"	"10/28/16"	"Booby Rock"	"Surface"	"surface"	"L2"	" 53309"	" 0.50"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.44000"	"35.71000"	" 89.645"	" 5.797"	"0.0325"	" 0.0157"	" 1.6182"	" 0.0056"	" 0.0175"	NA	NA	" 45633"	" 88988"	" 1814"	" 753652"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1009"	"10/21/21"	"Dittlif"	"Surface"	"surface"	"F2"	" 63776"	" 0.50"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.78607"	"34.89662"	" 71.500"	" 8.600"	"0.0800"	" 0.4000"	" 1.9000"	" 0.0400"	" 0.3300"	NA	NA	" 11384"	" 64367"	" 2062"	" 754000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"463"	"11/29/17"	"Joels Shoal"	"Surface"	"surface"	"G2"	" 57680"	" 0.50"	"2017November"	"2017-11"	"No"	"No"	"hurricane"	"28.04000"	"34.80000"	" 76.272"	" 9.427"	"0.1507"	" 0.0410"	" 2.5019"	" 0.0058"	" 0.2486"	NA	NA	" 60525"	" 41822"	"  816"	" 538678"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"595"	"4/13/18"	"Cocoloba"	"Surface"	"surface"	"H2"	" 60076"	" 0.50"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.31000"	"36.55000"	" 70.085"	" 6.902"	"0.1684"	" 0.1321"	" 1.4233"	" 0.0377"	" 0.1832"	NA	NA	" 19153"	" 70045"	" 1097"	" 583959"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"1042"	"10/22/21"	"Yawzi"	"Surface"	"surface"	"F2"	" 53924"	" 0.50"	"2021October"	"2021-10"	"No"	"Yes"	"disease"	"29.60672"	"34.58244"	" 75.900"	" 8.200"	"0.0700"	" 0.0000"	" 2.3000"	" 0.0100"	" 0.2900"	NA	NA	" 42859"	" 85587"	" 1746"	" 841000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"634"	"11/6/18"	"Sand patch"	"Surface"	"surface"	"F2"	" 58396"	" 0.50"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.59000"	"33.13000"	" 85.145"	" 4.682"	"0.1300"	" 0.0455"	" 3.4650"	"-0.0133"	"-0.0083"	NA	NA	"129488"	" 58950"	" 1645"	" 965391"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"453"	"11/28/17"	"Dittlif"	"Benthic"	"benthic"	"H2"	" 57354"	" 7.90"	"2017November"	"2017-11"	"No"	"No"	"hurricane"	"28.13000"	"34.64000"	" 72.123"	" 8.560"	"0.1556"	" 0.3795"	" 2.4712"	" 0.0346"	" 0.0897"	"0.15852199"	"0.12018661"	" 63056"	" 30642"	"  703"	" 482288"	"0.01"	"0.02000000"	"0.00000000"	"0.00000000"	"0.17666667"	"0.25666667"	"0.02000000"	"0.00000000"	"0.04500000"	"0.03250000"	"0.3316667"	"0.14833333"	"FALSE"
