	date	site	depth	depthtype	Library	Sequences	depth_m	monthyear	yearmonth	prehurricane	disease	disturbance	temp	salinity	npoc	tn	po4	no2no3	silicate	no2	nh4	Chl	Phaeo	pro	syn	peuk	hbact	BleachCoral	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae	is.neg
1039	2021-10-22	Yawzi	Benthic	benthic	F2	65462	8.9	2021October	2021-10	No	Yes	disease	29.60135	34.69132	95.3	9.7	0.12	0.3	1.1	0.02	0.51	0.17760066	0.10506393	24318	54493	1996	621000	0	0.0825	0.03	0	0.0475	0.3275	0.025	0.095	0.04	0.04	0.145	0.175	FALSE
1048	2021-10-23	Ram Head	Surface	surface	F2	67320	0.5	2021October	2021-10	No	Yes	disease	29.29664	34.36653	87.3	7.8	0.07	0.1	3	0.01	0.21	NA	NA	51486	82961	1956	912000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
573	2018-04-12	Sand patch	Benthic	benthic	H2	63640	9.14	2018April	2018-04	No	No	hurricane	27.51	36.48	73.442	6.716	0.1612	0	1.423	0.0178	0.1973	0.16084494	0.05938737	39811	100294	1223	618750	0	0	0	0	0	0	0	0	0	0	1	0	FALSE
USVI126	2016-10-28	Booby Rock	Surface	surface	L2	53309	0.5	2016October	2016-10	Yes	No	historic	29.44	35.71	89.645	5.797	0.0325	0.0157	1.6182	0.0056	0.0175	NA	NA	45633	88988	1814	753652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1009	2021-10-21	Dittlif	Surface	surface	F2	63776	0.5	2021October	2021-10	No	Yes	disease	29.78607	34.89662	71.5	8.6	0.08	0.4	1.9	0.04	0.33	NA	NA	11384	64367	2062	754000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
463	2017-11-29	Joels Shoal	Surface	surface	G2	57680	0.5	2017November	2017-11	No	No	hurricane	28.04	34.8	76.272	9.427	0.1507	0.041	2.5019	0.0058	0.2486	NA	NA	60525	41822	816	538678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
595	2018-04-13	Cocoloba	Surface	surface	H2	60076	0.5	2018April	2018-04	No	No	hurricane	27.31	36.55	70.085	6.902	0.1684	0.1321	1.4233	0.0377	0.1832	NA	NA	19153	70045	1097	583959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1042	2021-10-22	Yawzi	Surface	surface	F2	53924	0.5	2021October	2021-10	No	Yes	disease	29.60672	34.58244	75.9	8.2	0.07	0	2.3	0.01	0.29	NA	NA	42859	85587	1746	841000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
634	2018-11-06	Sand patch	Surface	surface	F2	58396	0.5	2018November	2018-11	No	No	hurricane	28.59	33.13	85.145	4.682	0.13	0.0455	3.465	-0.0133	-0.0083	NA	NA	129488	58950	1645	965391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
453	2017-11-28	Dittlif	Benthic	benthic	H2	57354	7.9	2017November	2017-11	No	No	hurricane	28.13	34.64	72.123	8.56	0.1556	0.3795	2.4712	0.0346	0.0897	0.15852199	0.12018661	63056	30642	703	482288	0.01	0.02	0	0	0.17666667	0.25666667	0.02	0	0.045	0.0325	0.3316667	0.14833333	FALSE
